Мої думки тихі,2019,Comedy,8.5
Chyornyy tsvetok,,Drama,6.2
Незламна,2015,Biography,7.1
Сторожова застава,2017,Adventure,6.5
Викрадена принцеса,2018,Animation,6.1
Плем'я,2014,Crime,7.0
Крути 1918,2019,Action,6.4
The Earth Is Blue as an Orange,2020,Documentary,8.0
Захар Беркут,2020,Action,7.3
Metro Exodus,2019,Action,8.2
Сафо,2008,Drama,4.7
Школа,,Drama,4.0
Metro: Last Light,2013,Action,8.3
Кріпосна,,Drama,7.2
Нюхач,,Action,7.2
Metro 2033,2010,Action,8.1
Додому,2019,Drama,7.4
Фокстер & Макс,2019,Adventure,7.0
Ruby Ring,,Drama,
Метелики,,Action,7.7
Поліна і таємниця кіностудії,2019,Adventure,4.9
Російський дятел,2015,Documentary,6.8
NK: Elefante,2019,Short,
Кіборги. Герої не вмирають,2017,Action,7.9
Клара та чарівний дракон,2019,Animation,5.8
Svaty,,Comedy,6.8
The Sinking City,2019,Horror,7.5
Sluga naroda,,Comedy,6.9
Bessmertnik,,Drama,7.4
Black Flower,,Drama,
Eva: Stories,2019,Drama,8.2
18+,2013,Short,6.6
Коли падають дерева,2018,Drama,6.8
Чорний ворон,2019,Drama,7.6
Ржевський проти Наполеона,2012,Comedy,2.7
Черкаси,2019,Drama,7.9
OrAngeLove,2007,Drama,6.8
Спіймати Кайдаша,,Comedy,9.1
Микита Кожум'яка,2016,Animation,5.4
Мавка. Лісова пісня,,Animation,
Зарваниця,2020,Documentary,7.6
Love Me,2014,Documentary,6.4
Pes,,Action,8.1
Атлантида,2019,Drama,6.3
Червоний,2017,Biography,7.1
Sherlock Holmes: The Devils Daughter,2016,Adventure,7.3
5baksiv.net,,Comedy,8.6
Віддана,2020,Drama,7.3
Перші ластівки,,Drama,8.2
Секс і нічого особистого,2018,Comedy,6.5
Плем'я,2014,Crime,7.0
Мої думки тихі,2019,Comedy,8.5
Незламна,2015,Biography,7.1
The Earth Is Blue as an Orange,2020,Documentary,8.0
Викрадена принцеса,2018,Animation,6.1
Chyornyy tsvetok,,Drama,6.2
Сторожова застава,2017,Adventure,6.5
Крути 1918,2019,Action,6.4
Захар Беркут,2020,Action,7.3
Metro 2033,2010,Action,8.1
Metro Exodus,2019,Action,8.2
Сафо,2008,Drama,4.7
Школа,,Drama,4.0
Нюхач,,Action,7.2
Metro: Last Light,2013,Action,8.3
Кріпосна,,Drama,7.2
Ruby Ring,,Drama,
Додому,2019,Drama,7.4
NK: Elefante,2019,Short,
Метелики,,Action,7.7
Поліна і таємниця кіностудії,2019,Adventure,4.9
Клара та чарівний дракон,2019,Animation,5.8
Фокстер & Макс,2019,Adventure,7.0
Svaty,,Comedy,6.8
The Sinking City,2019,Horror,7.5
18+,2013,Short,6.6
Black Flower,,Drama,
Sluga naroda,,Comedy,6.9
Eva: Stories,2019,Drama,8.2
Російський дятел,2015,Documentary,6.8
Кіборги. Герої не вмирають,2017,Action,7.9
Bessmertnik,,Drama,7.4
Мавка. Лісова пісня,,Animation,
OrAngeLove,2007,Drama,6.8
Спіймати Кайдаша,,Comedy,9.1
Черкаси,2019,Drama,7.9
Червоний,2017,Biography,7.1
Ржевський проти Наполеона,2012,Comedy,2.7
Микита Кожум'яка,2016,Animation,5.4
Коли падають дерева,2018,Drama,6.8
Sherlock Holmes: The Devils Daughter,2016,Adventure,7.3
Чорний ворон,2019,Drama,7.6
Pes,,Action,8.1
Атлантида,2019,Drama,6.3
Зарваниця,2020,Documentary,7.6
5baksiv.net,,Comedy,8.6
Love Me,2014,Documentary,6.4
Перші ластівки,,Drama,8.2
Віддана,2020,Drama,7.3
Секс і нічого особистого,2018,Comedy,6.5
Obruchka z rubinom,,Drama,
Поводир,2014,Drama,7.9
Мотыльки. фільм (2014),2014,Drama,
Скажене весілля 2,2019,Comedy,6.3
Чорний козак,2018,Fantasy,7.4
Гуцулка Ксеня,2019,Musical,7.3
War Note,2020,Documentary,8.6
Україна має талант,,Reality-TV,6.2
Забуті,2019,Drama,7.7
Anna,2019,Short,8.4
Наші Котики,2020,Comedy,8.5
Слуга народу 2,2016,Comedy,6.3
Схованки,,Crime,8.2
Papik,,Comedy,8.2
Скажене весілля,2018,Comedy,6.3
Orel i reshka,,Reality-TV,7.9
Брама,2017,Comedy,7.0
Майже святий,2015,Documentary,7.5
Вулкан,2018,Comedy,6.8
"365 днів, також відомі як рік",2019,Documentary,
"Я, Ти, Він, Вона",2018,Comedy,5.3
Свінгери,2018,Comedy,5.4
"Пекельна Хоругва, або Козацьке Різдво",2019,Family,7.3
Іловайськ 2014. Батальйон Донбас,2019,Action,7.8
